"search","socialmedia","termsconditions","age","behavior","interest","commercial","awareness","concern","regulation","comfort","F_internetuse","F_termsconditions","F_age","F_behavior","F_interest","F_commercial","F_awareness","F_concern","F_regulation","F_comfort","F_nationality"
2,1,1,35,3,4,4,1,1,1,4,"light_user","read","25-39","disagree","disagree","disagree","agree","agree","agree","uncomfortable","BELGIUM"
2,1,3,60,4,1,3,1,1,1,4,"light_user","don't read","55+","disagree","agree","disagree","agree","agree","agree","uncomfortable","BELGIUM"
1,1,3,18,3,2,3,1,3,3,2.33333333333333,"heavy_user","don't read","15-24","disagree","agree","disagree","agree","disagree","disagree","comfortable","BELGIUM"
1,1,3,23,2,2,4,2,1,1,3,"heavy_user","don't read","15-24","agree","agree","disagree","agree","agree","agree","uncomfortable","BELGIUM"
2,3,1,36,3,2,2,2,2,2,2,"light_user","read","25-39","disagree","agree","agree","agree","agree","agree","comfortable","ITALY"
1,2,1,60,3,2,3,1,3,2,2,"light_user","read","55+","disagree","agree","disagree","agree","disagree","agree","comfortable","BELGIUM"
1,1,3,26,3,1,4,1,2,3,2,"heavy_user","don't read","25-39","disagree","agree","disagree","agree","agree","disagree","comfortable","BELGIUM"
1,2,3,24,3,2,2,2,2,2,2,"light_user","don't read","15-24","disagree","agree","agree","agree","agree","agree","comfortable","BELGIUM"
1,1,2,30,1,1,1,1,1,1,3.33333333333333,"heavy_user","read","25-39","agree","agree","agree","agree","agree","agree","uncomfortable","BELGIUM"
2,2,3,50,3,3,2,2,2,2,2,"light_user","don't read","40-54","disagree","disagree","agree","agree","agree","agree","comfortable","BELGIUM"
1,5,1,56,3,1,4,1,2,1,4,"light_user","read","55+","disagree","agree","disagree","agree","agree","agree","uncomfortable","BELGIUM"
1,2,1,57,4,2,4,1,3,3,2.66666666666667,"light_user","read","55+","disagree","agree","disagree","agree","disagree","disagree","comfortable","BELGIUM"
3,3,2,37,3,2,3,3,3,3,2.33333333333333,"light_user","read","25-39","disagree","agree","disagree","disagree","disagree","disagree","comfortable","BELGIUM"
2,3,3,48,2,2,3,4,2,1,2.33333333333333,"light_user","don't read","40-54","agree","agree","disagree","disagree","agree","agree","comfortable","BELGIUM"
2,3,1,41,3,2,2,2,2,4,2,"light_user","read","40-54","disagree","agree","agree","agree","agree","disagree","comfortable","BELGIUM"
2,3,2,30,1,3,2,4,2,4,2.33333333333333,"light_user","read","25-39","agree","disagree","agree","disagree","agree","disagree","comfortable","BELGIUM"
2,3,3,29,2,3,2,3,2,3,3,"light_user","don't read","25-39","agree","disagree","agree","disagree","agree","disagree","uncomfortable","BELGIUM"
1,3,2,46,3,2,3,3,3,2,3,"light_user","read","40-54","disagree","agree","disagree","disagree","disagree","agree","uncomfortable","BELGIUM"
1,1,3,46,3,4,2,1,2,2,2,"heavy_user","don't read","40-54","disagree","disagree","agree","agree","agree","agree","comfortable","BELGIUM"
